Line;;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1;        Gross domestic product;104556;92160;77391;59522;57154;66800;74241;84830;93003;87352;93437;102899;129309;165952;203084;224447;228007;227535;249616;274468;272475;299827;346914;367341;389218;390549;425478;449353;474039;481229;521654;542382;562210;603921;637451;684460;742289;813414;859958;940651;1017615;1073303;1164850;1279110;1425376;1545243;1684904;1873412;2081826;2351599;2627334;2857307;3207042;3343789;3634038;4037613;4338979;4579631;4855215;5236438;5641580;5963144;6158129;6520327;6858559;7287236;7639749;8073122;8577552;9062817;9630663;10252347;10581822;10936418;11458246;12213730;13036637;13814609;14451860;14712845;14448932;14992052;15542582;16197007;16784851;17527258;18238301;18745075;19542980;20611861;21433226;20936559
2;Personal consumption expenditures;77382;70136;60672;48714;45945;51461;55932;62188;66839;64272;67209;71288;81072;89002;99903;108648;119977;144198;161852;174878;178333;192044;208339;219320;232740;239608;258288;271128;286296;295606;317130;331180;341475;362557;382035;410632;442973;479919;506685;556852;603639;646724;699937;768153;849575;930161;1030547;1147666;1273975;1422252;1585420;1750667;1933951;2071256;2281605;2492340;2712830;2886278;3076279;3330012;3576758;3808994;3943449;4197559;4451984;4720965;4962590;5244596;5536790;5877248;6279078;6762144;7065634;7342686;7723109;8212662;8747118;9260345;9706431;9976330;9842209;10185836;10641109;11006814;11317210;11822753;12297480;12769962;13340354;13993281;14544601;14145337
3;    Goods;43770;38164;31709;24127;23756;28483;31628;35969;38373;36006;37921;40632;47448;51026;56332;60531;67624;86245;99429;107420;108081;116830;124748;128785;134835;135766;147398;152154;159602;161568;172607;177015;178808;188969;198154;212252;229675;249619;258991;284617;304678;318794;342116;373815;416635;451538;491334;546305;600384;663567;737938;799794;869368;899290;973783;1063700;1137609;1195627;1256297;1337309;1423805;1491301;1497434;1563268;1642347;1746554;1815533;1917671;2006506;2108439;2287062;2453172;2525593;2598805;2722597;2902021;3082923;3239655;3367031;3363221;3180022;3317825;3518121;3637739;3729973;3862956;3922993;3998352;4172255;4371854;4512208;4658802
4;        Durable goods;9829;7661;5911;3959;3762;4564;5493;6749;7393;6123;7168;8287;10268;7630;7471;7743;9098;17114;21833;24453;26623;32445;31739;31243;34616;33713;40745;40169;42027;39530;44888;45625;44206;49465;54228;59556;66390;71745;73981;84828;90483;89988;102446;116444;130527;130177;142165;168624;191963;213348;226340;226391;243938;253032;295031;342156;380365;421439;442022;475053;494330;497079;477183;508081;551532;607171;635738;676295;715530;779293;855568;912572;941515;985368;1017801;1080574;1128610;1158333;1188043;1098761;1012121;1048962;1093499;1144221;1189413;1242075;1307605;1350222;1410678;1481552;1534351;1618953
5;        Nondurable goods;33941;30503;25798;20169;19994;23919;26135;29221;30980;29883;30754;32345;37180;43395;48861;52788;58525;69131;77596;82966;81457;84384;93009;97542;100219;102053;106653;111985;117575;122038;127719;131390;134602;139504;143927;152696;163285;177874;185009;199788;214195;228806;239670;257371;286108;321361;349170;377680;408421;450218;511598;573402;625430;646258;678753;721545;757244;774188;814275;862256;929475;994222;1020252;1055186;1090814;1139382;1179795;1241376;1290976;1329146;1431493;1540600;1584078;1613437;1704797;1821447;1954313;2081322;2178988;2264460;2167901;2268862;2424622;2493518;2540559;2620881;2615387;2648130;2761577;2890302;2977856;3039849
6;    Services;33613;31972;28963;24587;22189;22978;24305;26218;28466;28266;29287;30655;33624;37976;43570;48117;52354;57953;62423;67459;70252;75215;83591;90535;97905;103842;110890;118973;126693;134038;144523;154165;162667;173588;183880;198380;213298;230300;247695;272236;298960;327931;357821;394338;432939;478623;539213;601361;673591;758686;847482;950874;1064583;1171966;1307821;1428640;1575221;1690651;1819982;1992703;2152953;2317693;2446015;2634291;2809637;2974411;3147057;3326925;3530285;3768809;3992017;4308972;4540041;4743881;5000512;5310641;5664195;6020689;6339400;6613109;6662186;6868011;7122988;7369075;7587238;7959797;8374488;8771610;9168099;9621427;10032393;9486535
7;Gross private domestic investment;17170;11428;6549;1819;2276;4296;7370;9391;12967;7944;10229;14579;19369;11762;7405;9180;12400;33128;37131;50347;39099;56530;62759;57274;60414;58070;73754;77685;76505;70947;85669;86477;86584;96977;103284;112150;129645;144188;142700;156923;173562;170049;196824;228140;266925;274526;257253;323224;396613;478377;539657;530098;631229;581034;637518;820089;829650;849146;892176;936963;999701;993448;944344;1013006;1106826;1256484;1317489;1432055;1595600;1736671;1887059;2038408;1934842;1930417;2027056;2281253;2534720;2700954;2673011;2477613;1929664;2165473;2332562;2621754;2826013;3044178;3237161;3188341;3351144;3632878;3751222;3604746
8;    Fixed investment;15630;11651;7661;4169;3680;4876;6230;8230;10341;8519;10021;12186;15039;9856;8151;10104;13877;27118;37681;44689;41791;50761;52848;53759;58466;60007;68767;73735;75728;71313;81752;83245;83610;90876;97663;107329;120398;130552;132834;147871;164389;168048;188569;219034;251048;260536;263509;306109;374289;452586;521673;536430;601420;595947;643269;754684;807826;842575;865027;918481;972008;978903;944738;996678;1086012;1192700;1286316;1401255;1524674;1672952;1826243;1983864;1973126;1910443;2012961;2217186;2477207;2631965;2639060;2506855;2080435;2111555;2286300;2550542;2721483;2960212;3100376;3159990;3334820;3575142;3702122;3677560
9;        Nonresidential;11560;9184;5762;3294;2955;3833;4829;6403;8180;6279;6871;8543;10823;7502;6583;8608;12054;19163;25473;28881;26950;30017;34187;34901;38768;38565;43364;49748;53097;48491;53124;56389;56599;61233;64808;72229;85235;97174;99207;107672;120013;124638;130416;146635;172726;191070;196776;219346;259060;314576;373832;406910;472938;485099;482156;564320;607750;607763;615237;662280;715993;739234;723584;741937;799204;868853;962247;1043194;1149088;1254144;1364477;1498432;1460067;1352848;1375880;1467369;1620986;1793801;1948563;1990871;1690432;1734981;1907465;2118527;2211494;2400057;2466555;2460499;2574473;2776652;2894993;2792348
10;            Structures;5491;4448;2619;1392;1091;1234;1433;1878;2706;2124;2217;2557;3250;2241;1770;2369;3336;7381;8137;9526;9178;9957;11954;12224;13570;13865;15157;18180;18950;17629;18149;19568;19715;20778;21199;23737;28321;31349;31511;33557;37699;40287;42679;47173;54983;61237;61350;65915;74578;93584;117701;136170;167314;177564;154344;177397;194518;176527;174202;182790;193716;202917;183606;172572;177151;186768;207270;224583;250265;276004;285724;321005;333510;286986;286605;307653;352958;425186;510302;571107;455817;379784;404457;479435;492521;577624;584353;560285;599069;631402;650223;584707
