date;ics;ci;ei;;;;;;;;
01/01/1960;100.0;100.3;105.3;;;;;;;;
01/04/1960;93.3;92.3;99.3;;;;;;;;
01/07/1960;97.2;97.6;98.2;;;;;;;;
01/10/1960;90.1;90.0;94.1;;;;;;;;
01/01/1961;91.6;93.9;95.6;;;;;;;;
01/04/1961;92.5;91.6;98.8;;;;;;;;
01/07/1961;99.2;100.9;99.2;;;;;;;;
01/10/1961;93.0;94.7;97.5;;;;;;;;
01/01/1962;99.9;101.5;104.1;;;;;;;;
01/04/1962;95.4;94.9;97.2;;;;;;;;
01/07/1962;91.6;96.3;94.1;;;;;;;;
01/10/1962;95.0;96.2;99.9;;;;;;;;
01/01/1963;98.4;103.9;100.6;;;;;;;;
01/04/1963;91.7;95.0;94.8;;;;;;;;
01/07/1963;96.4;103.0;97.7;;;;;;;;
01/10/1963;94.4;98.3;97.7;;;;;;;;
01/01/1964;99.5;100.2;100.1;;;;;;;;
01/04/1964;98.5;100.6;97.9;;;;;;;;
01/07/1964;100.6;100.8;99.8;;;;;;;;
01/10/1964;99.9;100.9;101.8;;;;;;;;
01/01/1965;102.0;101.1;103.7;;;;;;;;
01/04/1965;105.4;109.7;103.8;;;;;;;;
01/07/1965;103.4;103.6;105.0;;;;;;;;
01/10/1965;102.9;100.7;105.5;;;;;;;;
01/01/1966;100.0;100.7;100.7;;;;;;;;
01/04/1966;95.7;96.4;96.7;;;;;;;;
01/07/1966;91.2;92.7;91.4;;;;;;;;
01/10/1966;88.3;85.8;90.9;;;;;;;;
01/01/1967;94.1;91.1;97.1;;;;;;;;
01/04/1967;95.9;99.1;95.0;;;;;;;;
01/07/1967;97.0;100.2;96.2;;;;;;;;
01/10/1967;92.9;96.3;91.8;;;;;;;;
01/01/1968;97.2;102.3;95.0;;;;;;;;
01/04/1968;92.4;97.1;90.6;;;;;;;;
01/07/1968;92.4;97.5;90.3;;;;;;;;
01/10/1968;91.7;92.6;92.3;;;;;;;;
01/01/1969;98.2;99.0;98.7;;;;;;;;
01/04/1969;91.5;92.9;91.8;;;;;;;;
01/07/1969;86.4;86.9;87.3;;;;;;;;
01/10/1969;79.7;80.6;80.3;;;;;;;;
01/01/1970;78.1;82.3;76.5;;;;;;;;
01/04/1970;75.4;82.6;71.9;;;;;;;;
01/07/1970;77.6;81.3;76.4;;;;;;;;
01/10/1970;72.4;74.7;72.0;;;;;;;;
01/01/1971;78.1;82.4;76.6;;;;;;;;
01/04/1971;80.2;87.7;76.6;;;;;;;;
01/07/1971;82.1;88.5;79.1;;;;;;;;
01/10/1971;82.0;90.3;77.9;;;;;;;;
01/01/1972;92.8;96.4;91.6;;;;;;;;
01/04/1972;88.6;99.3;82.9;;;;;;;;
01/07/1972;95.2;101.9;92.0;;;;;;;;
01/10/1972;90.7;95.9;88.5;;;;;;;;
01/01/1973;81.9;95.8;74.0;;;;;;;;
01/04/1973;77.0;92.7;68.0;;;;;;;;
01/07/1973;72.0;86.6;63.7;;;;;;;;
01/10/1973;76.5;91.7;67.8;;;;;;;;
01/01/1974;61.8;81.8;50.1;;;;;;;;
01/04/1974;72.1;85.6;64.6;;;;;;;;
01/07/1974;64.4;75.7;58.3;;;;;;;;
01/10/1974;59.5;73.1;51.9;;;;;;;;
01/01/1975;57.6;70.0;50.7;;;;;;;;
01/04/1975;72.8;78.1;70.5;;;;;;;;
01/07/1975;75.7;84.2;71.4;;;;;;;;
01/10/1975;75.6;85.1;70.6;;;;;;;;
01/01/1976;84.6;90.6;81.9;;;;;;;;
01/04/1976;83.3;89.8;80.2;;;;;;;;
01/07/1976;89.7;96.9;86.2;;;;;;;;
01/10/1976;87.0;89.4;86.6;;;;;;;;
01/01/1977;87.1;92.3;84.9;;;;;;;;
01/04/1977;90.2;101.1;84.3;;;;;;;;
01/07/1977;89.0;101.5;82.2;;;;;;;;
01/10/1977;84.4;98.3;76.6;;;;;;;;
01/01/1978;82.6;95.0;74.6;;;;;;;;
01/04/1978;81.8;98.2;71.3;;;;;;;;
01/07/1978;80.0;97.0;69.1;;;;;;;;
01/10/1978;73.8;91.2;62.7;;;;;;;;
01/01/1979;71.9;92.3;58.9;;;;;;;;
01/04/1979;66.7;87.7;53.3;;;;;;;;
01/07/1979;63.7;87.0;48.8;;;;;;;;
01/10/1979;62.3;79.9;51.0;;;;;;;;
01/01/1980;63.9;83.0;51.6;;;;;;;;
01/04/1980;54.4;65.1;47.5;;;;;;;;
01/07/1980;67.8;79.4;60.4;;;;;;;;
01/10/1980;72.0;76.9;68.9;;;;;;;;
01/01/1981;68.3;74.8;64.0;;;;;;;;
01/04/1981;73.9;78.2;71.2;;;;;;;;
01/07/1981;74.8;83.9;69.0;;;;;;;;
01/10/1981;65.7;77.1;58.5;;;;;;;;
01/01/1982;66.6;79.4;58.3;;;;;;;;
01/04/1982;66.2;74.2;61.1;;;;;;;;
01/07/1982;66.7;74.3;61.8;;;;;;;;
01/10/1982;72.5;76.7;69.8;;;;;;;;
01/01/1983;75.0;79.6;72.0;;;;;;;;
01/04/1983;91.5;94.2;89.8;;;;;;;;
01/07/1983;91.2;96.0;88.1;;;;;;;;
01/10/1983;91.6;96.6;88.3;;;;;;;;
01/01/1984;99.5;105.0;96.0;;;;;;;;
01/04/1984;96.6;105.9;90.6;;;;;;;;
01/07/1984;98.9;106.4;94.0;;;;;;;;
01/10/1984;95.0;102.2;90.3;;;;;;;;
01/01/1985;94.5;104.6;88.0;;;;;;;;
01/04/1985;94.3;105.1;87.4;;;;;;;;
01/07/1985;92.8;103.5;85.9;;;;;;;;
01/10/1985;91.0;101.3;84.4;;;;;;;;
01/01/1986;95.5;109.3;86.7;;;;;;;;
01/04/1986;96.8;109.2;88.8;;;;;;;;
01/07/1986;94.9;109.8;85.3;;;;;;;;
01/10/1986;92.0;107.1;82.4;;;;;;;;
01/01/1987;90.5;103.8;81.9;;;;;;;;
01/04/1987;91.8;107.0;82.1;;;;;;;;
01/07/1987;93.9;108.7;84.4;;;;;;;;
01/10/1987;86.4;101.7;76.6;;;;;;;;
01/01/1988;92.3;107.3;82.6;;;;;;;;
01/04/1988;93.5;106.6;85.1;;;;;;;;
01/07/1988;96.0;110.3;86.9;;;;;;;;
01/10/1988;93.0;103.5;86.3;;;;;;;;
01/01/1989;95.9;106.9;88.8;;;;;;;;
01/04/1989;90.9;105.2;81.7;;;;;;;;
01/07/1989;92.5;104.4;84.8;;;;;;;;
01/10/1989;91.8;101.2;85.7;;;;;;;;
01/01/1990;91.3;105.7;82.0;;;;;;;;
01/04/1990;90.9;108.0;80.0;;;;;;;;
01/07/1990;79.1;99.1;66.3;;;;;;;;
01/10/1990;65.2;85.0;52.4;;;;;;;;
01/01/1991;74.8;87.0;67.0;;;;;;;;
01/04/1991;80.8;91.3;74.0;;;;;;;;
01/07/1991;82.6;93.9;75.4;;;;;;;;
01/10/1991;71.9;83.1;64.6;;;;;;;;
01/01/1992;70.7;81.7;63.7;;;;;;;;
01/04/1992;78.9;91.6;70.8;;;;;;;;
01/07/1992;76.1;88.4;68.2;;;;;;;;
01/10/1992;83.3;90.8;78.5;;;;;;;;
01/01/1993;87.3;98.7;79.9;;;;;;;;
01/04/1993;82.5;99.1;71.8;;;;;;;;
01/07/1993;77.4;95.5;65.8;;;;;;;;
01/10/1993;84.1;99.9;73.9;;;;;;;;
01/01/1994;93.0;105.4;85.0;;;;;;;;
01/04/1994;92.2;106.3;83.1;;;;;;;;
01/07/1994;90.7;106.0;80.9;;;;;;;;
01/10/1994;93.1;103.9;86.3;;;;;;;;
01/01/1995;94.3;109.2;84.7;;;;;;;;
01/04/1995;91.7;105.7;82.7;;;;;;;;
01/07/1995;93.1;107.2;84.1;;;;;;;;
01/10/1995;89.8;102.9;81.4;;;;;;;;
01/01/1996;90.5;105.5;80.9;;;;;;;;
01/04/1996;91.5;106.1;82.1;;;;;;;;
01/07/1996;94.9;105.7;88.0;;;;;;;;
01/10/1996;97.5;106.3;91.8;;;;;;;;
01/01/1997;99.0;108.0;93.3;;;;;;;;
01/04/1997;103.0;114.0;96.0;;;;;;;;
01/07/1997;105.8;112.9;101.2;;;;;;;;
01/10/1997;105.0;112.0;100.4;;;;;;;;
01/01/1998;107.8;115.7;102.8;;;;;;;;
01/04/1998;106.9;114.9;101.8;;;;;;;;
01/07/1998;103.5;113.0;97.4;;;;;;;;
01/10/1998;100.2;114.2;91.2;;;;;;;;
01/01/1999;105.9;116.0;99.4;;;;;;;;
01/04/1999;106.2;118.6;98.3;;;;;;;;
01/07/1999;105.9;115.5;99.7;;;;;;;;
01/10/1999;105.2;113.9;99.7;;;;;;;;
01/01/2000;110.1;116.5;106.0;;;;;;;;
01/04/2000;108.8;117.6;103.1;;;;;;;;
01/07/2000;107.5;112.9;104.0;;;;;;;;
01/10/2000;103.9;113.7;97.7;;;;;;;;
01/01/2001;92.3;105.6;83.7;;;;;;;;
01/04/2001;91.0;100.6;84.8;;;;;;;;
01/07/2001;88.5;98.1;82.4;;;;;;;;
01/10/2001;85.1;96.1;78.1;;;;;;;;
01/01/2002;93.1;97.4;90.4;;;;;;;;
01/04/2002;94.1;100.7;89.9;;;;;;;;
01/07/2002;87.3;97.8;80.5;;;;;;;;
01/10/2002;83.8;93.8;77.4;;;;;;;;
01/01/2003;80.0;94.2;70.8;;;;;;;;
01/04/2003;89.3;94.8;85.7;;;;;;;;
01/07/2003;89.3;100.1;82.3;;;;;;;;
01/10/2003;92.0;99.8;87.0;;;;;;;;
01/01/2004;98.1;106.7;92.5;;;;;;;;
01/04/2004;93.4;105.1;85.8;;;;;;;;
01/07/2004;95.6;105.6;89.1;;;;;;;;
01/10/2004;93.9;105.1;86.6;;;;;;;;
01/01/2005;94.1;109.3;84.3;;;;;;;;
01/04/2005;90.2;107.5;79.1;;;;;;;;
01/07/2005;87.4;106.5;75.1;;;;;;;;
01/10/2005;82.4;100.1;71.0;;;;;;;;
01/01/2006;88.9;108.3;76.5;;;;;;;;
01/04/2006;83.8;103.5;71.2;;;;;;;;
01/07/2006;84.0;101.3;72.9;;;;;;;;
01/10/2006;92.5;107.1;83.0;;;;;;;;
01/01/2007;92.2;107.2;82.6;;;;;;;;
01/04/2007;86.9;103.9;76.0;;;;;;;;
01/07/2007;85.8;100.3;76.4;;;;;;;;
01/10/2007;77.5;93.4;67.3;;;;;;;;
01/01/2008;72.9;87.5;63.5;;;;;;;;
01/04/2008;59.6;72.6;51.2;;;;;;;;
01/07/2008;64.8;73.0;59.5;;;;;;;;
01/10/2008;57.7;61.9;55.0;;;;;;;;
01/01/2009;58.3;65.1;54.0;;;;;;;;
01/04/2009;68.2;69.8;67.3;;;;;;;;
01/07/2009;68.4;70.2;67.2;;;;;;;;
01/10/2009;70.1;73.5;68.0;;;;;;;;
01/01/2010;73.9;81.8;68.8;;;;;;;;
01/04/2010;73.9;82.5;68.4;;;;;;;;
01/07/2010;68.3;78.1;62.0;;;;;;;;
01/10/2010;71.2;81.3;64.8;;;;;;;;
01/01/2011;73.1;83.8;66.3;;;;;;;;
01/04/2011;71.9;82.2;65.3;;;;;;;;
01/07/2011;59.5;73.1;50.9;;;;;;;;
01/10/2011;64.7;77.3;56.7;;;;;;;;
01/01/2012;75.5;84.4;69.8;;;;;;;;
01/04/2012;76.3;83.9;71.5;;;;;;;;
01/07/2012;75.0;85.7;68.1;;;;;;;;
01/10/2012;79.4;88.6;73.5;;;;;;;;
01/01/2013;76.7;88.3;69.2;;;;;;;;
01/04/2013;81.7;93.9;73.8;;;;;;;;
01/07/2013;81.6;95.5;72.7;;;;;;;;
01/10/2013;76.9;92.1;67.1;;;;;;;;
01/01/2014;80.9;96.0;71.3;;;;;;;;
01/04/2014;82.8;96.6;74.0;;;;;;;;
01/07/2014;83.0;98.7;72.9;;;;;;;;
01/10/2014;89.8;101.9;81.9;;;;;;;;
01/01/2015;95.5;107.1;88.1;;;;;;;;
01/04/2015;94.2;105.6;86.9;;;;;;;;
01/07/2015;90.8;104.5;82.0;;;;;;;;
01/10/2015;91.3;104.9;82.6;;;;;;;;
01/01/2016;91.5;106.2;82.0;;;;;;;;
01/04/2016;92.4;109.1;81.7;;;;;;;;
01/07/2016;90.3;106.7;79.8;;;;;;;;
01/10/2016;93.2;107.5;83.9;;;;;;;;
01/01/2017;97.2;112.0;87.8;;;;;;;;
01/04/2017;96.4;112.3;86.2;;;;;;;;
01/07/2017;95.1;112.0;84.2;;;;;;;;
01/10/2017;98.4;114.6;87.9;;;;;;;;
01/01/2018;98.9;115.5;88.3;;;;;;;;
01/04/2018;98.3;114.4;88.0;;;;;;;;
01/07/2018;98.1;113.3;88.3;;;;;;;;
01/10/2018;98.2;113.8;88.1;;;;;;;;
01/01/2019;94.5;110.2;84.4;;;;;;;;
01/04/2019;98.4;111.4;90.1;;;;;;;;
01/07/2019;93.8;108.2;84.6;;;;;;;;
01/10/2019;97.2;113.4;86.8;;;;;;;;
01/01/2020;96.4;110.7;87.2;;;;;;;;
01/04/2020;74.0;81.2;69.4;;;;;;;;
01/07/2020;75.6;84.4;70.0;;;;;;;;
01/10/2020;79.8;87.6;74.8;;;;;;;;
01/01/2021;80.2;88.6;74.8;;;;;;;;
